,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
516,50,0.4,circles,logistic,0.5091111111111112,0.02176643695641935,0.461,0.05008991914547279,0.04811111111111116,1.0
517,50,0.4,circles,logistic,0.5091111111111111,0.020726317736481335,0.4620000000000001,0.04812483766206387,0.04711111111111099,10.0
518,50,0.4,circles,logistic,0.5091111111111111,0.020726317736481335,0.4620000000000001,0.04812483766206387,0.04711111111111099,100.0
519,50,0.4,circles,svm,0.5074444444444444,0.004445833116387256,0.44400000000000006,0.036110940170535566,0.0634444444444443,0.001
520,50,0.4,circles,svm,0.5109999999999999,0.01353960810564034,0.446,0.03852272056851644,0.06499999999999989,0.005
521,50,0.4,circles,svm,0.5122222222222221,0.017090897151176666,0.453,0.05177837386399846,0.05922222222222212,0.01
522,50,0.4,circles,svm,0.5917777777777777,0.0297487420628333,0.5439999999999999,0.06606057825965497,0.04777777777777781,0.05
523,50,0.4,circles,svm,0.6465555555555556,0.005408041566061322,0.626,0.03666060555964671,0.02055555555555555,0.1
524,50,0.4,circles,svm,0.6502222222222221,0.005111111111111133,0.638,0.040693979898751634,0.012222222222222134,0.5
525,50,0.4,circles,svm,0.655,0.007765863891114021,0.6030000000000001,0.04473253849269009,0.051999999999999935,5.0
526,50,0.4,circles,svm,0.6655555555555556,0.006610877680286019,0.598,0.04166533331199932,0.06755555555555559,10.0
527,50,0.4,circles,svm,0.7498888888888888,0.005675374572943165,0.619,0.056999999999999995,0.13088888888888883,50.0
528,50,0.4,moons,logistic,0.7973333333333333,0.004998765279645328,0.7889999999999999,0.0398622628559895,0.008333333333333415,0.001
529,50,0.4,moons,logistic,0.818888888888889,0.003912625969257551,0.8200000000000001,0.032557641192199394,-0.0011111111111110628,0.01
530,50,0.4,moons,logistic,0.8456666666666667,0.0038313199221259287,0.844,0.035832945734337825,0.0016666666666667052,0.1
531,50,0.4,moons,logistic,0.8491111111111109,0.004268749491621899,0.8470000000000001,0.03551056180912941,0.0021111111111108416,0.5
532,50,0.4,moons,logistic,0.8489999999999999,0.0042875069736832815,0.8459999999999999,0.03583294573433784,0.0030000000000000027,1.0
533,50,0.4,moons,logistic,0.8493333333333333,0.004280302285390715,0.845,0.037749172176353755,0.0043333333333333,10.0
534,50,0.4,moons,logistic,0.8495555555555555,0.0044499965321112955,0.844,0.03954743986657038,0.005555555555555536,100.0
